"screen_name","user_id","follower_count"
"__exeed__",1423290160834224128,63
"__falsehope",764703756,639
"_1732b_",1270095921687207936,15
"_AaronDev_",1430543370615627776,16
"_alexww",714216276177129472,43
"_andrewhan35",1181348410894385152,17
"_Blackwood_",1430321568538796032,21
"_blockbird",1308607309375913984,1747
"_BluMeanie",1370133361272885248,62
"_brookiemonster",1383546500672745472,9
"_Bubbletrousers",1401407346304225280,56
"_cryptoditto",1370723225664126976,114
"_CryptoMonke",1374194647283724288,97
"_dajuanandonly_",999389370280022016,10
"_deepakkumarb",132755296,235
"_forager",4676091906,257
"_fusao",1420313085366112256,18
"_haohaizi",1339840667783073792,233
"_Keagi",1356044101595099136,11
"_keruto149",1425877701299036160,0
"_kidCrypto",1389908088136761344,5
"_lowkeylos",69975944,440
"_Marcus2k",296541518,177
"_midfeb",1235782672280170496,112
"_mikeloner",82646155,206
"_Navarks",728664115783335936,45
"_nickmanthey",1020204009037021184,351
"_OtterPotter_",1435798544934477824,22
"_PaulAllensCard",1429367918387634176,8
"_samsweet",1402860841,120
"_ShillClinton",1271705333719678976,199
"_stall",145742953,83
"_StephMi",352481852,4443
"_ThePamp_",1181605833047789568,7
"_tkbooker",1387748499924586496,173
"_Trilliam_",4854208667,25
"_Wing_3",1217523848,980
"0h_m4t3",764775006,200
"0Investy",1362635351563534336,35
"0K0Y0NNS0N",4734416353,5781
"0th_Tachikoma",3278627678,441
"0x_android",258634357,461
"0x_calibur",1084848542194298880,15
"0x_cryptokietty",745789062888382464,87
"0x_d3f1",1394753116327792640,37
"0X_DEG3N",1345736984480927744,171
"0x_fxnction",1414330132022452224,71022
"0x_ItsHunterC",3285909823,665
"0x_kertapati",1.166143705843e+18,1088
"0x_metaverse",889304717595115520,26
"0x_Mike",1058288895316627456,149
"0x_Ryan",865740887426347008,146
"0x_td_elb",3092200675,268
"0x_Wgmi",1417274336587681792,45
"0x00bartender",1444239685639983104,34
"0x089",1000659894310178816,77
"0x0inked",540825815,357
"0x1049",1429963323014066176,313
"0x1111111111111",3283139010,114
"0x2c_Luke",23546025,162
"0x3rn35t",1262062811842113536,41
"0x541nt1",1376465215584305152,2249
"0x6325",174743325,12
"0x7a99a",847290053227290624,865
"0x84A",1269530114,1015
"0x88888888",1255380105079259136,427
"0x999_",1377391394713530368,41
"0xa7111a",1369745395002249216,1782
"0xaeto",1390884934097776640,414
"0xAlek",523844186,99
"0xangelfish",1280000427543519232,1316
"0xAppraiser",1230313644812128256,788
