"date","followers","following","tweets","favorites","num_sales","follower_growth"
2021-05-20,NA,NA,NA,NA,1,NA
2021-05-21,NA,NA,NA,NA,NA,NA
2021-05-22,NA,NA,NA,NA,NA,NA
2021-05-23,NA,NA,NA,NA,NA,NA
2021-05-24,NA,NA,NA,NA,NA,NA
2021-05-25,NA,NA,NA,NA,NA,NA
2021-05-26,NA,NA,NA,NA,NA,NA
2021-05-27,NA,NA,NA,NA,NA,NA
2021-05-28,NA,NA,NA,NA,NA,NA
2021-05-29,NA,NA,NA,NA,NA,NA
2021-05-30,NA,NA,NA,NA,NA,NA
2021-05-31,NA,NA,NA,NA,NA,NA
2021-06-01,NA,NA,NA,NA,2,NA
2021-06-02,NA,NA,NA,NA,NA,NA
2021-06-03,NA,NA,NA,NA,NA,NA
2021-06-04,NA,NA,NA,NA,NA,NA
2021-06-05,NA,NA,NA,NA,NA,NA
2021-06-06,NA,NA,NA,NA,2,NA
2021-06-07,NA,NA,NA,NA,1,NA
2021-06-08,NA,NA,NA,NA,NA,NA
2021-06-09,NA,NA,NA,NA,NA,NA
2021-06-10,NA,NA,NA,NA,2,NA
2021-06-11,NA,NA,NA,NA,NA,NA
2021-06-12,NA,NA,NA,NA,2,NA
2021-06-13,NA,NA,NA,NA,NA,NA
2021-06-14,NA,NA,NA,NA,NA,NA
2021-06-15,NA,NA,NA,NA,9,NA
2021-06-16,NA,NA,NA,NA,NA,NA
2021-06-17,NA,NA,NA,NA,NA,NA
2021-06-18,NA,NA,NA,NA,1,NA
2021-06-19,NA,NA,NA,NA,NA,NA
2021-06-20,NA,NA,NA,NA,2,NA
2021-06-21,NA,NA,NA,NA,2,NA
2021-06-22,NA,NA,NA,NA,1,NA
2021-06-23,NA,NA,NA,NA,NA,NA
2021-06-24,NA,NA,NA,NA,5,NA
2021-06-25,NA,NA,NA,NA,1,NA
2021-06-26,NA,NA,NA,NA,NA,NA
2021-06-27,NA,NA,NA,NA,2,NA
2021-06-28,NA,NA,NA,NA,NA,NA
2021-06-29,NA,NA,NA,NA,NA,NA
2021-06-30,NA,NA,NA,NA,NA,NA
2021-07-01,NA,NA,NA,NA,NA,NA
2021-07-02,NA,NA,NA,NA,NA,NA
2021-07-03,NA,NA,NA,NA,NA,NA
2021-07-04,NA,NA,NA,NA,NA,NA
2021-07-05,NA,NA,NA,NA,NA,NA
2021-07-06,NA,NA,NA,NA,NA,NA
2021-07-07,NA,NA,NA,NA,NA,NA
2021-07-08,NA,NA,NA,NA,NA,NA
2021-07-09,NA,NA,NA,NA,2,NA
2021-07-10,NA,NA,NA,NA,2,NA
2021-07-11,NA,NA,NA,NA,2,NA
2021-07-12,NA,NA,NA,NA,1,NA
2021-07-13,NA,NA,NA,NA,NA,NA
2021-07-14,NA,NA,NA,NA,1,NA
2021-07-15,NA,NA,NA,NA,NA,NA
2021-07-16,NA,NA,NA,NA,NA,NA
2021-07-17,NA,NA,NA,NA,NA,NA
2021-07-18,NA,NA,NA,NA,NA,NA
2021-07-19,NA,NA,NA,NA,2,NA
2021-07-20,NA,NA,NA,NA,NA,NA
2021-07-21,NA,NA,NA,NA,1,NA
2021-07-22,NA,NA,NA,NA,NA,NA
2021-07-23,NA,NA,NA,NA,1,NA
2021-07-24,NA,NA,NA,NA,NA,NA
2021-07-25,NA,NA,NA,NA,1,NA
2021-07-26,NA,NA,NA,NA,2,NA
2021-07-27,NA,NA,NA,NA,1,NA
2021-07-28,NA,NA,NA,NA,2,NA
2021-07-29,NA,NA,NA,NA,16,NA
2021-07-30,NA,NA,NA,NA,7,NA
2021-07-31,NA,NA,NA,NA,NA,NA
2021-08-01,NA,NA,NA,NA,9,NA
2021-08-02,897,317,773,870,5,0
2021-08-03,907,317,775,882,10,10
2021-08-04,932,317,785,895,5,25
2021-08-05,958,319,793,912,16,26
2021-08-06,971,319,802,917,9,13
2021-08-07,1034,318,809,929,4,63
2021-08-08,1047,319,809,932,2,13
2021-08-09,NA,NA,NA,NA,2,NA
2021-08-10,NA,NA,NA,NA,25,NA
2021-08-11,NA,NA,NA,NA,4,NA
2021-08-12,1173,322,849,988,23,NA
2021-08-13,1220,327,869,1011,10,47
2021-08-14,1232,329,879,1027,7,12
2021-08-15,1245,329,885,1035,38,13
2021-08-16,1382,329,927,1094,12,137
2021-08-17,1406,331,939,1119,10,24
2021-08-18,1451,332,950,1129,65,45
2021-08-19,1464,332,973,1155,8,13
2021-08-20,1487,332,989,1179,16,23
2021-08-21,1488,332,991,1183,16,1
2021-08-22,1551,332,1009,1207,32,63
2021-08-23,1584,333,1018,1215,6,33
2021-08-24,1641,333,1037,1237,92,57
2021-08-25,1721,333,1054,1255,23,80
2021-08-26,1755,333,1063,1273,235,34
2021-08-27,2784,335,1122,1455,1436,1029
2021-08-28,2920,337,1133,1497,184,136
2021-08-29,2979,339,1166,1535,155,59
2021-08-30,3050,345,1186,1568,346,71
2021-08-31,3114,347,1206,1640,131,64
2021-09-01,3384,354,1257,1752,518,270
2021-09-02,3564,355,1276,1780,72,180
2021-09-03,3600,357,1289,1799,34,36
2021-09-04,3659,359,1299,1822,59,59
2021-09-05,3680,359,1304,1835,27,21
2021-09-06,3721,360,1313,1862,27,41
2021-09-07,3732,361,1317,1880,73,11
2021-09-08,3768,363,1324,1895,21,36
2021-09-09,3804,365,1332,1914,32,36
2021-09-10,3819,366,1330,1919,18,15
2021-09-11,3833,366,1330,1913,3,14
2021-09-12,3835,366,1332,1914,15,2
2021-09-13,3837,365,1332,1916,12,2
2021-09-14,3840,366,1334,1918,14,3
2021-09-15,3844,367,1334,1921,5,4
2021-09-16,3854,368,1335,1927,13,10
2021-09-17,3852,369,1335,1930,5,-2
2021-09-18,3857,369,1337,1935,9,5
2021-09-19,3866,369,1337,1936,7,9
2021-09-20,3872,369,1338,1931,24,6
2021-09-21,3874,369,1341,1938,6,2
2021-09-22,3878,369,1257,1936,11,4
2021-09-23,3879,369,1258,1938,8,1
2021-09-24,3881,369,1259,1942,5,2
2021-09-25,3879,369,1259,1944,2,-2
2021-09-26,3879,369,1259,1943,18,0
2021-09-27,3885,370,1266,1946,3,6
2021-09-28,3901,372,1268,1953,18,16
2021-09-29,3922,374,1268,1954,8,21
2021-09-30,3931,374,1270,1955,5,9
2021-10-01,3939,381,1276,1970,21,8
2021-10-02,3942,383,1277,1976,7,3
2021-10-03,3951,384,1277,1976,6,9
2021-10-04,3953,386,1293,1985,7,2
2021-10-05,3964,386,1291,1965,11,11
2021-10-06,3969,387,1292,1973,3,5
2021-10-07,3972,389,1292,1972,2,3
2021-10-08,3973,390,1293,1979,5,1
2021-10-09,3972,390,1297,1983,7,-1
2021-10-10,3972,390,1298,1988,11,0
2021-10-11,3979,390,1298,1989,1,7
2021-10-12,3977,390,1298,1991,1,-2
2021-10-13,3986,391,1301,1999,12,9
2021-10-14,3986,391,1304,2003,0,0
2021-10-15,3985,391,1304,2002,0,-1
2021-10-16,3988,392,1304,2004,3,3
2021-10-17,3992,392,1305,2006,5,4
2021-10-18,3993,392,1306,2011,7,1
2021-10-19,3997,393,1308,2013,1,4
2021-10-20,4003,394,1312,2015,3,6
2021-10-21,4006,394,1318,2025,2,3
2021-10-22,4010,398,1320,2024,1,4
2021-10-23,4012,398,1320,2025,1,2
2021-10-24,4013,399,1322,2027,0,1
2021-10-25,4017,399,1323,2029,0,4
2021-10-26,4016,399,1325,2032,2,-1
2021-10-27,4014,399,1327,2035,0,-2
